homeOver, homeGG, awayOver, awayGG, homeGoals, awayGoals, result
0.56,0.60,0.56,0.56,1.44,0.96,yes
0.60,0.58,0.50,0.60,1.62,1.00,no
0.41,0.52,0.56,0.50,0.96,2.00,yes
0.31,0.40,0.48,0.50,1.04,1.00,no
0.43,0.36,0.50,0.54,1.12,1.81,no
0.38,0.53,0.48,0.57,1.33,1.15,yes
0.62,0.45,0.49,0.58,2.62,1.11,no
0.54,0.61,0.40,0.47,1.81,1.00,no
0.48,0.48,0.50,0.52,1.35,1.59,no
0.30,0.40,0.66,0.57,1.56,1.33,yes
0.59,0.54,0.65,0.75,1.90,1.40,no
0.46,0.46,0.59,0.56,1.95,0.50,no
0.68,0.63,0.68,0.45,2.63,2.10,yes
0.54,0.46,0.71,0.63,0.90,1.10,yes
0.63,0.66,0.61,0.56,1.75,0.95,no
0.57,0.62,0.61,0.56,2.05,0.86,no
0.33,0.53,0.33,0.33,0.88,0.85,yes
0.29,0.59,0.53,0.56,0.62,0.86,no
0.47,0.45,0.44,0.51,1.43,1.00,no
0.30,0.40,0.33,0.48,1.70,1.37,no
0.53,0.53,0.51,0.59,1.41,1.00,no
0.41,0.50,0.34,0.52,2.00,1.00,no
0.81,0.69,0.69,0.65,1.00,1.22,yes
0.67,0.45,0.60,0.52,2.88,1.27,no
0.41,0.45,0.41,0.45,1.09,1.00,yes
0.79,0.57,0.71,0.50,1.14,1.14,no
0.40,0.50,0.27,0.32,1.23,0.87,no
0.21,0.32,0.31,0.44,1.32,1.03,yes
0.50,0.50,0.39,0.48,0.90,0.84,no
0.52,0.59,0.48,0.43,1.86,1.40,no
0.47,0.47,0.45,0.48,1.17,1.39,no
0.60,0.62,0.52,0.60,1.45,1.14,yes
0.69,0.46,0.38,0.31,1.83,0.86,yes
0.77,0.69,0.55,0.57,1.43,1.04,no
0.54,0.62,0.52,0.56,1.52,1.67,yes
0.46,0.52,0.50,0.42,1.17,0.83,no
0.48,0.56,0.62,0.67,1.04,1.70,no
0.48,0.56,0.77,0.69,1.43,0.67,yes
0.55,0.57,0.62,0.73,1.39,1.74,no
0.58,0.56,0.60,0.50,1.65,1.29,yes
0.38,0.31,0.58,0.56,1.83,0.96,yes
0.62,0.62,0.60,0.58,1.67,1.09,no
0.67,0.71,0.81,0.65,2.08,2.58,yes
0.56,0.60,0.67,0.67,1.50,1.22,no
0.60,0.58,0.58,0.60,1.96,1.54,no
0.65,0.56,0.71,0.73,1.00,1.46,no
0.60,0.50,0.67,0.65,0.96,1.54,no
0.58,0.60,0.50,0.58,1.71,1.54,yes
0.60,0.58,0.69,0.46,2.12,2.04,yes
0.54,0.58,0.57,0.79,1.50,2.43,yes
0.43,0.43,0.71,0.56,0.71,1.58,no
0.58,0.53,0.61,0.70,1.73,1.20,no
0.53,0.41,0.71,0.64,1.12,1.05,yes
0.31,0.47,0.44,0.51,1.32,1.35,no
0.44,0.49,0.47,0.51,0.95,1.23,no
0.50,0.39,0.53,0.42,1.33,0.77,no
0.42,0.44,0.40,0.40,1.71,1.05,yes
0.51,0.51,0.56,0.56,1.67,1.38,yes
0.44,0.58,0.56,0.51,1.52,1.00,yes
0.33,0.44,0.42,0.44,0.86,0.73,no
0.49,0.51,0.66,0.36,1.05,2.29,no
0.44,0.51,0.53,0.41,1.18,0.89,yes
0.42,0.44,0.44,0.58,1.00,1.41,no
0.56,0.56,0.50,0.39,1.88,1.13,no
0.31,0.47,0.61,0.70,1.32,1.20,no
0.71,0.64,0.40,0.40,2.13,1.05,no
0.56,0.51,0.44,0.49,1.83,1.09,no
0.53,0.42,0.42,0.44,1.13,1.19,no
0.66,0.36,0.58,0.53,2.83,1.04,no
0.33,0.44,0.49,0.51,0.86,1.04,yes
0.47,0.51,0.51,0.51,1.61,1.67,yes
0.52,0.56,0.67,0.59,1.26,1.74,no
0.39,0.56,0.41,0.56,0.93,1.33,no
0.31,0.48,0.47,0.64,1.04,1.30,no
0.69,0.69,0.38,0.38,2.00,1.25,no
0.52,0.57,0.50,0.56,1.31,0.75,yes
0.35,0.46,0.31,0.56,1.11,1.04,no
0.28,0.36,0.31,0.31,1.30,0.75,yes
0.60,0.47,0.54,0.56,1.29,0.81,no
0.44,0.61,0.43,0.50,1.85,1.07,no
0.39,0.50,0.50,0.50,1.04,1.48,no
0.75,0.81,0.47,0.73,2.00,1.25,no
0.60,0.47,0.50,0.50,1.29,1.48,no
0.32,0.42,0.49,0.55,1.75,1.08,no
0.40,0.40,0.57,0.43,1.63,1.29,no
0.36,0.45,0.54,0.68,1.37,1.45,no
0.65,0.56,0.35,0.45,1.04,0.89,yes
0.39,0.41,0.65,0.60,1.30,1.33,yes
0.35,0.48,0.47,0.42,1.57,2.10,no
0.28,0.33,0.53,0.53,1.20,1.00,no
0.39,0.49,0.21,0.33,1.17,0.60,no
0.44,0.48,0.40,0.35,1.29,0.70,no
0.27,0.40,0.44,0.61,1.07,1.10,no
0.35,0.25,0.40,0.48,1.80,0.77,no
0.34,0.42,0.60,0.70,1.10,1.00,no
0.35,0.25,0.40,0.50,1.70,0.90,no
0.44,0.36,0.69,0.65,1.60,1.32,yes
0.60,0.67,0.57,0.63,1.33,1.36,no
0.51,0.55,0.67,0.53,1.46,0.75,yes
0.39,0.49,0.29,0.47,1.69,1.10,yes
0.48,0.59,0.64,0.68,1.14,1.65,yes
0.60,0.46,0.52,0.58,1.67,0.96,no
0.64,0.55,0.48,0.59,1.39,0.96,yes
0.60,0.56,0.64,0.68,1.64,1.65,yes
0.60,0.57,0.50,0.50,1.57,1.68,yes
0.71,0.62,0.56,0.69,1.64,1.54,no
0.54,0.52,0.54,0.40,1.17,2.00,yes
0.51,0.62,0.40,0.47,1.65,1.29,yes
0.71,0.71,0.60,0.58,2.58,1.54,no
0.62,0.74,0.44,0.44,1.50,1.12,yes
0.60,0.60,0.70,0.64,1.14,2.04,yes
0.68,0.68,0.49,0.58,2.12,1.42,yes
0.68,0.64,0.68,0.66,1.46,2.23,yes
0.70,0.66,0.72,0.64,2.08,1.04,yes
0.64,0.64,0.43,0.57,1.35,1.04,no
0.58,0.60,0.80,0.67,1.85,1.57,yes
0.60,0.60,0.68,0.66,1.85,1.77,yes
